pai,jiang,p
1334,1,0.0000
1332,0,0.0107
1332,1,0.0294
2344,1,0.0000
312,0,0.0078
312,1,0.0422
314,0,0.0000
314,1,0.0000
313,0,0.0225
313,1,0.0451
2332,0,0.0147
2332,1,0.0588
4411,0,0.0000
4411,1,0.0000
1340,0,0.0000
1340,1,0.0000
4412,0,0.0000
4412,1,0.0000
1341,0,0.0000
4410,0,0.0000
4410,1,0.0000
1342,0,0.0000
1342,1,0.0000
4414,0,0.0000
4414,1,0.0000
1343,0,0.0000
1343,1,0.0000
311,0,0.0051
311,1,0.0147
1344,0,0.0000
1344,1,0.0000
304,1,0.0000
322,0,0.0200
322,1,0.0796
323,0,0.0392
323,1,1.0000
324,0,0.0000
4420,0,0.0000
1331,1,0.0196
1330,0,0.0225
1330,1,0.0451
4421,0,0.0000
4421,1,0.0000
4422,0,0.0000
4422,1,0.0000
4423,0,0.0000
4423,1,0.0000
3400,0,0.0000
3400,1,0.0000
4424,0,0.0000
4424,1,0.0000
3401,0,0.0000
3401,1,0.0000
330,0,1.0000
330,1,0.0425
3402,0,0.0000
3402,1,0.0000
331,0,0.0225
4420,1,0.0000
324,1,0.0000
3403,0,0.0000
3403,1,0.0000
332,0,0.0392
332,1,1.0000
321,0,0.0078
321,1,0.0422
334,0,0.0000
334,1,0.0000
320,0,0.0350
320,1,1.0000
4430,0,0.0000
4430,1,0.0000
4431,0,0.0000
4431,1,0.0000
4432,0,0.0000
4432,1,0.0000
1341,1,0.0000
3410,0,0.0000
3410,1,0.0000
3411,0,0.0000
3411,1,0.0000
340,0,0.0000
340,1,0.0000
3412,0,0.0000
3412,1,0.0000
4413,0,0.0000
4413,1,0.0000
3413,0,0.0000
3413,1,0.0000
342,0,0.0000
342,1,0.0000
3414,0,0.0000
3414,1,0.0000
343,0,0.0000
343,1,0.0000
344,0,0.0000
344,1,0.0000
4440,0,0.0000
4440,1,0.0000
4441,0,0.0000
4441,1,0.0000
4442,0,0.0000
4442,1,0.0000
3420,0,0.0000
3420,1,0.0000
3421,0,0.0000
3421,1,0.0000
3422,0,0.0000
3422,1,0.0000
3423,0,0.0000
3423,1,0.0000
2400,0,0.0000
2400,1,0.0000
3424,0,0.0000
3424,1,0.0000
2401,0,0.0000
2401,1,0.0000
2402,0,0.0000
2402,1,0.0000
2403,0,0.0000
2403,1,0.0000
2404,0,0.0000
2404,1,0.0000
3430,0,0.0000
3430,1,0.0000
3431,0,0.0000
3431,1,0.0000
3432,0,0.0000
3432,1,0.0000
3433,0,0.0000
3433,1,0.0000
2410,0,0.0000
2410,1,0.0000
3434,0,0.0000
3434,1,0.0000
2411,0,0.0000
2411,1,0.0000
2412,0,0.0000
341,0,0.0000
4433,0,0.0000
333,0,1.0000
3404,0,0.0000
3404,1,0.0000
331,1,0.0451
2414,0,0.0000
2414,1,0.0000
3441,0,0.0000
3441,1,0.0000
3440,0,0.0000
3440,1,0.0000
3443,0,0.0000
3443,1,0.0000
2420,0,0.0000
2420,1,0.0000
2421,0,0.0000
2421,1,0.0000
2422,0,0.0000
2422,1,0.0000
2423,0,0.0000
2423,1,0.0000
333,1,0.0168
2424,0,0.0000
2424,1,0.0000
4433,1,0.0000
1402,0,0.0000
1402,1,0.0000
1403,0,0.0000
1403,1,0.0000
1404,0,0.0000
1404,1,0.0000
2430,0,0.0000
2430,1,0.0000
2432,0,0.0000
2432,1,0.0000
2433,0,0.0000
2433,1,0.0000
1410,0,0.0000
1410,1,0.0000
2431,0,0.0000
2431,1,0.0000
2434,0,0.0000
2434,1,0.0000
1411,0,0.0000
1411,1,0.0000
1412,0,0.0000
1412,1,0.0000
1413,0,0.0000
1413,1,0.0000
1414,0,0.0000
1414,1,0.0000
2440,0,0.0000
2440,1,0.0000
2441,0,0.0000
2441,1,0.0000
2442,0,0.0000
2442,1,0.0000
2443,0,0.0000
2443,1,0.0000
1420,0,0.0000
1420,1,0.0000
2444,0,0.0000
2444,1,0.0000
1421,0,0.0000
1421,1,0.0000
341,1,0.0000
1422,0,0.0000
1422,1,0.0000
400,0,0.0000
400,1,0.0000
2412,1,0.0000
401,0,0.0000
401,1,0.0000
402,0,0.0000
402,1,0.0000
403,0,0.0000
403,1,0.0000
404,0,0.0000
404,1,0.0000
1430,0,0.0000
1430,1,0.0000
1431,0,0.0000
1431,1,0.0000
1432,0,0.0000
1432,1,0.0000
1433,0,0.0000
1433,1,0.0000
410,0,0.0000
410,1,0.0000
1434,0,0.0000
1434,1,0.0000
411,0,0.0000
411,1,0.0000
412,0,0.0000
412,1,0.0000
413,0,0.0000
413,1,0.0000
414,0,0.0000
414,1,0.0000
1440,0,0.0000
1440,1,0.0000
1441,0,0.0000
1441,1,0.0000
1442,0,0.0000
1442,1,0.0000
1443,0,0.0000
1443,1,0.0000
2413,0,0.0000
2413,1,0.0000
1444,0,0.0000
1444,1,0.0000
421,0,0.0000
421,1,0.0000
422,0,0.0000
422,1,0.0000
423,0,0.0000
423,1,0.0000
424,0,0.0000
424,1,0.0000
430,0,0.0000
430,1,0.0000
431,0,0.0000
431,1,0.0000
432,0,0.0000
432,1,0.0000
433,0,0.0000
433,1,0.0000
434,0,0.0000
434,1,0.0000
440,0,0.0000
440,1,0.0000
441,0,0.0000
441,1,0.0000
442,0,0.0000
442,1,0.0000
443,0,0.0000
443,1,0.0000
444,0,0.0000
444,1,0.0000
4000,0,0.0000
4000,1,0.0000
4001,0,0.0000
4001,1,0.0000
4002,0,0.0000
4002,1,0.0000
4003,0,0.0000
4003,1,0.0000
4004,0,0.0000
4004,1,0.0000
4010,0,0.0000
4010,1,0.0000
4011,0,0.0000
4011,1,0.0000
4013,0,0.0000
4013,1,0.0000
4012,0,0.0000
4012,1,0.0000
4014,0,0.0000
4014,1,0.0000
4020,0,0.0000
4020,1,0.0000
4021,0,0.0000
4021,1,0.0000
4022,0,0.0000
4022,1,0.0000
4023,0,0.0000
4023,1,0.0000
3000,0,1.0000
3000,1,0.0499
4024,0,0.0000
4024,1,0.0000
3001,0,0.0170
3001,1,0.0441
3002,0,0.0350
3002,1,1.0000
3003,0,1.0000
3003,1,0.0425
3004,0,0.0000
3004,1,0.0000
4030,0,0.0000
4030,1,0.0000
4031,0,0.0000
4031,1,0.0000
4032,0,0.0000
4032,1,0.0000
4033,0,0.0000
4033,1,0.0000
3010,0,0.0170
3010,1,0.0441
4034,0,0.0000
4034,1,0.0000
3011,0,0.0051
3011,1,0.0147
3012,0,0.0078
3012,1,0.0422
3014,0,0.0000
3014,1,0.0000
3013,0,0.0225
3013,1,0.0451
4040,0,0.0000
4040,1,0.0000
4041,0,0.0000
4041,1,0.0000
4042,0,0.0000
4042,1,0.0000
4043,0,0.0000
4043,1,0.0000
3020,0,0.0350
3020,1,1.0000
4044,0,0.0000
4044,1,0.0000
3021,0,0.0078
3021,1,0.0422
3022,0,0.0200
3022,1,0.0796
2000,0,0.0332
2000,1,1.0000
420,0,0.0000
420,1,0.0000
3024,0,0.0000
3024,1,0.0000
2001,0,0.0062
2001,1,0.0353
2002,0,0.0152
2002,1,0.0763
2003,0,0.0350
2003,1,1.0000
2004,0,0.0000
2004,1,0.0000
3030,0,1.0000
3030,1,0.0425
3031,0,0.0225
3031,1,0.0451
3032,0,0.0392
3032,1,1.0000
3033,0,1.0000
3033,1,0.0168
2010,0,0.0062
2010,1,0.0353
2011,0,0.0032
3034,0,0.0000
3034,1,0.0000
1424,0,0.0000
1424,1,0.0000
2012,0,0.0045
2012,1,0.0196
2013,0,0.0078
2013,1,0.0422
2014,0,0.0000
2014,1,0.0000
3040,0,0.0000
3040,1,0.0000
3041,0,0.0000
3041,1,0.0000
3042,0,0.0000
3042,1,0.0000
3043,0,0.0000
3043,1,0.0000
2020,0,0.0152
2020,1,0.0763
3044,0,0.0000
3044,1,0.0000
2021,0,0.0045
2021,1,0.0196
2023,0,0.0200
2023,1,0.0796
1000,0,0.0142
1000,1,0.0433
2024,0,0.0000
2024,1,0.0000
1001,0,0.0036
1001,1,0.0118
1002,0,0.0062
1002,1,0.0353
2022,0,0.0069
1423,0,0.0000
1401,0,0.0000
1400,0,0.0000
3442,0,0.0000
1400,1,0.0000
1401,1,0.0000
1004,0,0.0000
1004,1,0.0000
2030,0,0.0350
2030,1,1.0000
2031,0,0.0078
2031,1,0.0422
2032,0,0.0200
2032,1,0.0796
1423,1,0.0000
1010,0,0.0036
1010,1,0.0118
2034,0,0.0000
2034,1,0.0000
2022,1,0.0541
1012,0,0.0032
1012,1,0.0122
1013,0,0.0051
1013,1,0.0147
1014,0,0.0000
1014,1,0.0000
2040,0,0.0000
2040,1,0.0000
2041,0,0.0000
2041,1,0.0000
2042,0,0.0000
2042,1,0.0000
2043,0,0.0000
2043,1,0.0000
1020,0,0.0062
1003,0,0.0170
2011,1,0.0122
3023,0,0.0392
3023,1,1.0000
2044,0,0.0000
2044,1,0.0000
1021,0,0.0032
1021,1,0.0122
1022,0,0.0045
1022,1,0.0196
1023,0,0.0078
1023,1,0.0422
1003,1,0.0441
1020,1,0.0353
1011,0,0.0000
1011,1,0.0082
2033,0,0.0392
2033,1,1.0000
3442,1,0.0000
